term,jsd,count_legal,count_popular,neighbours,scaled_jsd
my,0.527335186800914,158,3842,52,0.7307692307692307
people,0.48522747934215893,621,3379,129,0.7286821705426356
process,0.5533970433313502,2351,1649,2413,0.7252382925818484
religion,0.5023985162386765,131,3869,626,0.7220447284345048
all,0.5394844474257604,799,3201,43,0.7209302325581395
do,0.4786226427193994,739,3261,93,0.7204301075268817
sitting,0.5624262682734957,879,3121,2781,0.7202445163610213
soldier,0.5469453850654507,1458,2542,2159,0.7179249652616952
king,0.5020172330210552,661,3339,357,0.7142857142857143
principal,0.5190285208232012,1270,2730,1126,0.7140319715808171
seat,0.5350205093964079,1036,2964,1805,0.7135734072022161
open,0.5123126623227995,663,3337,818,0.7127139364303179
so,0.5271902438303506,775,3225,52,0.7115384615384616
as,0.5387891310316872,1049,2951,24,0.7083333333333334
net,0.629701555510083,952,747,4158,0.7049062049062049
his,0.5391294111856973,659,3341,27,0.7037037037037037
approved,0.5443484729037708,2021,1979,2231,0.7028238458090542
meeting,0.4993350408760234,813,3187,655,0.7007633587786259
each,0.48732384126067746,1609,2391,209,0.6985645933014354
certain,0.4930897739821675,1381,2619,409,0.6968215158924206
execution,0.49921704322424376,1939,2061,761,0.6964520367936925
themselves,0.4870773428679504,515,3485,303,0.693069306930693
kind,0.49615938067209325,569,3431,563,0.6927175843694494
who,0.525980498847697,667,3333,52,0.6923076923076923
just,0.4997502645116684,523,3477,432,0.6921296296296297
ourselves,0.5096680001443353,364,3636,1112,0.6915467625899281
form,0.49166209863805643,1024,2976,597,0.6901172529313233
application,0.5200199805253384,1648,2352,1486,0.6870794078061911
flee,0.6661448773326323,83,879,3881,0.6869363566091213
pro,0.550221222347715,3268,732,2994,0.6847027388109552
silver,0.5209133151709066,834,3166,1730,0.684393063583815
private,0.5007726282050192,1141,2859,852,0.681924882629108
direct,0.511964871592929,1397,2603,1376,0.6816860465116279
clear,0.5082622153101802,624,3376,1289,0.6811481768813034
rule,0.5066226822717884,1312,2688,1229,0.6810414971521562
then,0.473923103437416,729,3271,93,0.6774193548387096
punishment,0.5156315290485135,661,3339,1483,0.677006068779501
both,0.48214740136527123,616,3384,300,0.6766666666666666
civil,0.49774529025594627,914,3086,905,0.6740331491712708
supreme,0.5025573702480008,1732,2268,1179,0.6726039016115352
suits,0.5645096740171738,2040,1255,3359,0.6716284608514439
offense,0.514005946314774,2213,1787,1535,0.6697068403908795
square,0.5429499982141273,628,3372,2834,0.6665490472829922
capital,0.5300449442896089,1016,2984,2200,0.6659090909090909
alone,0.49530823053344053,473,3527,930,0.6655913978494624
escaping,0.6807235739401463,124,588,3316,0.6646562123039808
act,0.4842554125120502,1890,2110,226,0.6637168141592921
cruel,0.5295648931600656,177,3823,2194,0.6631722880583409
than,0.47449774903733516,738,3262,89,0.6629213483146067
every,0.4858248028229808,1068,2932,83,0.6626506024096386
may,0.5206148296175107,1248,2752,50,0.66
counted,0.6433101637128346,236,818,3985,0.6582183186951066
returning,0.5371877464589514,982,3018,2686,0.6574832464631423
numbers,0.5107010673666783,779,3221,1748,0.6561784897025171
union,0.4931958529231761,1532,2468,949,0.6522655426765016
labor,0.49507929288177205,641,3359,1297,0.646106399383192
exercise,0.4936246548662336,908,3092,1181,0.6460626587637596
otherwise,0.48965991313615187,1401,2599,920,0.6456521739130435
further,0.4759897397433292,2235,1765,321,0.6417445482866043
qualification,0.618220728658504,468,827,4170,0.6412470023980815
discoveries,0.5911457731653145,95,1761,4110,0.6401459854014598
