term,jsd,count_legal,count_popular,neighbours,scaled_jsd
serpent,0.8854950759726131,5,1323,4177,0.9700742159444578
vine,0.8707364935853539,42,1903,4087,0.9699045754832395
soul,0.7322623828162178,8,3992,664,0.9698795180722891
snail,0.9787222789488607,7,118,660,0.9696969696969697
cd,0.8751114390630752,1465,25,4212,0.9693732193732194
fir,0.86825854980291,1425,567,4062,0.9692269817823732
cot,0.9118494344324664,373,348,3336,0.9691247002398081
red,0.7708795507956271,372,3628,1550,0.9690322580645161
pet,0.8963117985808208,406,670,4000,0.969
pp,0.863802964183836,2191,26,3958,0.9689236988377968
nly,0.9165944569903209,45,562,2976,0.96875
ans,0.8746056595603925,167,1490,4182,0.968675274988044
love,0.6734810638416664,35,3965,319,0.9686520376175548
er,0.7447636837708879,981,3019,924,0.9686147186147186
hot,0.8026201821328827,251,3749,2611,0.9685944082726925
thin,0.8393661769432693,364,2795,3437,0.9685772475996508
lame,0.8708407182594943,1097,711,4130,0.9685230024213075
damned,0.874032062266416,6,1525,4206,0.968378506894912
greet,0.9618623255075758,11,241,1328,0.9683734939759037
meditation,0.9045002748375068,5,832,3630,0.9683195592286501
vows,0.8824209540888331,12,1252,4164,0.968299711815562
sly,0.9317129269212214,22,453,2428,0.9682866556836903
debility,0.8755489853624937,20,1406,4192,0.9682729007633588
her,0.6447387581736711,368,3632,63,0.9682539682539683
sores,0.9568673641619908,5,262,1405,0.9679715302491103
supple,0.9835484170457895,17,90,557,0.9676840215439856
variegated,0.9527714458489231,3,309,1640,0.9676829268292683
fed,0.8509064478266904,1011,1638,3693,0.9675060926076361
gentle,0.8017896191536127,100,3900,2655,0.9672316384180791
sighed,0.9218092797532109,4,528,2675,0.9671028037383178
paddy,0.9740172634037848,5,127,699,0.9670958512160229
nal,0.9024189796483463,827,25,3668,0.9670119956379498
liquid,0.9090301248629781,6,725,3360,0.9669642857142857
mid,0.8929584894653864,319,651,3894,0.9668721109399075
ver,0.8486434665706342,504,2236,3648,0.9668311403508771
star,0.8332225661333014,62,3341,3308,0.9667472793228536
iis,0.9553320235829754,278,6,1501,0.966688874083944
extras,0.9736404106272526,6,159,869,0.9666283084004603
9i,0.9894129122440691,55,3,299,0.9665551839464883
shalt,0.8229408339627201,171,3711,3079,0.9665475803832413
gilt,0.9025189440924608,12,817,3615,0.9665283540802213
clank,0.9961098301234544,4,28,149,0.9664429530201343
amid,0.8944580894155366,85,831,3793,0.9662536250988664
ring,0.7916038264337976,163,3837,2537,0.9661016949152542
pattern,0.8914440440840943,7,1017,3945,0.9660329531051964
cheek,0.865990081355317,37,1742,4142,0.965958474167069
prayer,0.7452272070823327,1209,2791,1527,0.9659462999345121
bud,0.9158694911142129,28,549,2845,0.9659050966608085
trad,0.9555869375773272,262,11,1436,0.9658774373259053
israel,0.7581473987719937,296,3704,1992,0.9658634538152611
hid,0.8518166544332498,565,1860,3832,0.9658141962421712
canaan,0.8913330926869766,85,928,3929,0.9656401119877831
md,0.9108728240829737,628,16,3122,0.9654067905188981
grace,0.7210259895792516,67,3933,808,0.9653465346534653
arc,0.8754573165190155,1286,49,4177,0.965286090495571
dirty,0.8958002748735725,12,856,3704,0.964902807775378
illumination,0.9422931647656739,4,348,1844,0.9647505422993492
oil,0.7896354712224296,726,3274,2553,0.9647473560517039
ice,0.8430662379285935,782,1911,3671,0.9645873059111959
solitude,0.8744612782226288,7,1384,4179,0.9645848289064369
penitent,0.8929674410224807,10,889,3761,0.9643711778782239
madam,0.7977539479963984,13,3987,2711,0.9642198450756179
ry,0.7731771606600062,842,3158,2234,0.964189794091316
hd,0.9425700880335848,338,3,1786,0.9641657334826428
salvation,0.7361908709545125,19,3981,1418,0.964033850493653
bow,0.8256673054989915,160,3286,3290,0.9638297872340426
roll,0.8209692722030834,1050,2681,3148,0.9637865311308768
baptism,0.8036760620518423,4,3996,2896,0.9637430939226519
light,0.7075899159563492,303,3697,524,0.9637404580152672
spirits,0.7337071337171246,829,3171,1418,0.9633286318758815
win,0.8808996312642584,310,831,4052,0.963228035538006
root,0.8202207544693666,534,3304,3099,0.9632139399806389
mist,0.9351778060075956,20,393,2147,0.9632044713553796
heat,0.7713342546022006,62,3938,2201,0.9631985461154021
flood,0.8535053937058973,214,1957,3986,0.9631209232313096
arch,0.8297428355316573,173,3112,3361,0.9631062183873847
foe,0.8483717374432201,300,2058,3889,0.9629724865003857
pleasures,0.7849120451021502,10,3990,2605,0.962763915547025
ceas,0.9639662644938496,4,204,1100,0.9627272727272728
bt,0.9034120443943281,689,8,3267,0.9626568717477808
sanctified,0.8787599254887201,7,1170,4091,0.9626008310926424
me,0.6155931886846255,173,3827,80,0.9625
music,0.8218993423530864,26,3456,3268,0.9620563035495716
bath,0.8386789988373092,877,1663,3741,0.9620422346966052
toad,0.9684884730340915,29,110,733,0.9618008185538881
beard,0.8888373489980173,73,852,3819,0.9617700968840011
lord,0.6416204532909183,328,3672,209,0.9617224880382775
he,0.6722419321821854,808,3192,26,0.9615384615384616
rebuke,0.9111403641962189,6,554,2780,0.9615107913669064
shades,0.8617857519753165,13,1648,4180,0.9614832535885167
heed,0.8725936196826457,9,1264,4165,0.9613445378151261
